,0,1,2,3,4,5,6
309,MESB-0009-663K,1465400440.0,149.0,283.0,335.5,409.75,523.0
310,MRMR-0060-736V,1466802981.0,141.0,206.0,273.0,351.0,466.0
311,MMCB-0000-301Y,1465398212.0,89.0,178.0,215.0,255.0,343.0
312,MESB-0009-651P,1465398971.0,165.0,390.0,436.5,496.0,567.0
313,MMCB-0008-116J,1465399247.0,131.0,198.0,266.0,360.0,517.0
314,MMCB-0007-118G,1465399249.0,130.0,283.0,331.0,394.0,511.0
315,MRMR-0081-680Z,1466829838.0,145.0,210.0,280.0,371.0,519.0
316,FRMR-00AW-8645,1466834740.0,138.0,194.0,251.0,325.0,441.0
317,MESB-0008-781L,1465398935.0,131.0,249.0,317.0,386.0,504.0
318,MGPC-XVZD-EKDG,1483845041.0,136.0,209.0,289.0,394.25,556.0
319,FCLR-GP20-745F,1477955787.0,129.0,183.0,235.0,299.0,397.0
320,FT8K-0000-182Z,1465399516.0,151.0,294.0,340.0,413.0,518.0
321,MESB-0009-625K,1465399950.0,132.10000000000002,277.0,327.0,389.0,512.0
322,MESB-0009-690N,1465400971.0,49.0,71.75,101.0,135.25,195.0
323,MMCB-0000-256L,1465399762.0,127.0,195.0,280.0,381.0,523.44999999999891
324,MMCB-0000-230Z,1465399951.0,122.0,188.0,266.0,371.0,520.0
325,FPWB-0000-9689,1466802698.0,128.0,187.0,251.0,331.0,464.0
326,MESB-0009-627G,1465398631.0,70.600000000000023,155.0,301.0,396.0,533.0
327,FPWB-0000-995C,1466806845.0,134.0,200.0,269.0,357.0,496.29999999999927
328,MESB-0009-6888,1465400569.0,78.0,143.5,190.0,249.0,320.0
329,MMCB-0000-159H,1465400378.0,106.0,191.0,215.0,252.0,332.0
330,MCLR-NA20-7442,1465396656.0,180.0,263.0,333.0,419.0,555.0
331,MMCB-0000-136P,1465400557.0,110.0,192.0,216.0,254.0,333.64999999999964
332,FPWB-0001-083Y,1466807034.0,196.0,279.0,356.0,444.0,569.0
333,FH2C-0000-366L,1465400295.0,215.0,288.0,342.0,419.0,533.0
334,MESB-0009-570R,1465400847.0,57.0,102.0,151.0,275.0,349.0
335,FGPC-0000-6186,1466832950.0,130.0,191.0,257.0,341.0,476.69999999999709
336,FGPC-IVLC-WFZD,1466812670.0,113.0,161.0,210.0,273.0,375.0
337,FF2E-0000-361V,1465400124.0,252.0,293.0,344.0,420.0,528.0
338,MMCB-0000-175N,1465401015.0,129.0,184.0,242.0,325.0,474.0
339,FRCH-0000-0018,1465396607.0,133.0,272.0,327.0,399.0,518.0
